class	dimension	rho0	seed	primitive_upper
COP	10	2	17	1196648321143917824,6376885543541140,122590505279405760,-322766166033223232,276627573205456096,420523543268186048,-8054082910589978,209650269347740768,104487371590008160,107889116121187616,15888206051740988,6376885543541141,6376885543541141,6376885543541141,6376885543541141,-20066994768452320,6376885543541141,6376885543541141,6376885543541141,749403710755987840,-614504672724519296,519271891749884096,127998496948799392,-8054082910589978,292484544937331456,527313486389973824,424903759392319552,901213714440948352,360768765569271360,496270689140588672,-8054082910589978,307685635438993344,511049715141135232,396035435836272256,594850549704827008,-558070954902020032,-8054082910589978,594850549704827008,594850549704827008,-558070954902020032,594850549704827008,-8054082910589978,-558070954902020032,594850549704827008,594850549704827008,25344855028045640,-8054082910589978,-8054082910589978,-8054082910589978,594850549704827008,-558070954902020032,594850549704827008,594850549704827008,-558070954902020032,594850549704827008
COP	10	2	18	4719643408380733440,628137810094857472,-46261714541697688,2281150575020858112,1247626980430089216,1318742618637671936,4145923445445382144,378867975942782016,3296214317618687488,3268095856032140288,4455373828842393600,-46261714541697688,-2787557413627657216,2227826457300988416,3098112508463982592,2202937106352799744,378867975942782016,2280959181438341120,1659308713832667648,5834037643973133,-46261714541697688,-46261714541697688,-46261714541697688,-46261714541697688,-47778817876579824,-46261714541697688,-46261714541697688,11761946856989267968,2596837740009095168,1246369485262769152,1147599076307349504,378867975942782016,4790468492610272256,2984089966377314304,4992071097705052160,-4231300939149723648,4992071097705052160,378867975942782016,4992071097705052160,-4231300939149723648,4992071097705052160,-4231300939149723648,378867975942782016,4992071097705052160,4992071097705052160,4992071097705052160,378867975942782016,-4231300939149723648,4992071097705052160,391292545059535488,378867975942782016,378867975942782016,4992071097705052160,-4231300939149723648,4992071097705052160
COP	10	2	19	6370432647845819392,2135468368874664192,-2129161162008390400,4999659485734786048,9441626118844073984,9365159466964380,4186367135893054464,4309549913882549248,-7099491529793141,5029298524948446208,7973023592590495744,-3000554408607415808,1989134998297475328,8798513348784471040,9365159466964380,6622847571284725760,5829149013879732224,-7099491529793141,6409768961285067776,9363021195943675904,1509514191849101568,2297823947252091136,9365159466964380,5235920248748594176,7008196515350721536,-7099491529793141,8680070152432852992,9472661473498597376,-8974082600210954240,9365159466964380,9472661473498597376,9472661473498597376,-7099491529793141,-8974082600210954240,9472661473498597376,9365159466964380,-8974082600210954240,9472661473498597376,-7099491529793141,9472661473498597376,601535079212270592,9365159466964408,9365159466964408,-456008593853153472,9365159466964408,9472661473498597376,-8974082600210954240,-7099491529793141,9472661473498597376,9472661473498597376,-7099491529793141,-8974082600210954240,345688630395819008,-7099491529793144,9472661473498597376
COP	10	2	20	2323461276101714432,-219069509028835040,731566841740799744,940716755168315904,451656062054560704,646933377382931456,-3815007788825561,498717868774230848,10596143681358042,489324840789804992,1777342902799780608,-272755597862086496,201864303287673888,45043201081016736,29917659012430628,-3815007788825561,769678160539448320,10596143681358042,369559646355886784,2462319935839204864,394909148996046144,468015430031798976,496322725304587072,-3815007788825561,749575174831656832,10596143681358042,874116795206185984,1181232671018355456,-1124610338195338496,1181232671018355456,-3815007788825561,1181232671018355456,10596143681358042,-1124610338195338496,1181232671018355456,-1124610338195338496,-3815007788825561,1181232671018355456,10596143681358042,1181232671018355456,1181232671018355456,-3815007788825561,-1124610338195338496,10596143681358042,1181232671018355456,14026851487863452,-3815007788825559,-38959431275034808,-3815007788825559,1181232671018355456,10596143681358042,-1124610338195338496,108209407263451040,10596143681358036,1181232671018355456
COP	10	2	21	177246684000415360,74256679164200592,-28733325672014176,74256679164200592,74256679164200592,74256679164200592,74256679164200592,74256679164200592,74256679164200592,74256679164200592,1582115834515642368,-12037694006970790,143056600370887936,983622761144294400,95409178024880768,972557008278699008,1160407789731097088,85011316453442048,406737038010170496,4657937658072601,-12037694006970790,-12037694006970790,-12037694006970790,-12037694006970790,-12037694006970790,-12037694006970790,-12037694006970790,2860299014381723136,564018361520878912,614853834831847040,385994124734305536,187384848267659648,471422133326634240,1130748297343880064,1604292991084559872,881940963514031488,853087681399459840,909202777878467968,1056574047762786688,434998476669376512,1213858776045572864,-1091984233168121088,1213858776045572864,1213858776045572864,-1091984233168121088,1213858776045572864,-1091984233168121088,1213858776045572864,1213858776045572864,1213858776045572864,-1091984233168121088,1213858776045572864,1213858776045572864,-1091984233168121088,1213858776045572864
COP	10	2	22	1201659128895776512,566967625419344704,566967625419344704,566967625419344704,566967625419344704,566967625419344704,566967625419344704,566967625419344704,566967625419344704,-67723878057087064,67786870912377192448,2182477233684903936,20132250503802191872,26549360537681772544,34791959260745293824,15033545466477451264,12766351495713814528,38159525321022029824,-31953526089798628,60470956378837073920,2182477233684903936,31199951418532167680,9988031312428943360,29084596405694455808,10124042205472548864,24775306820484661248,-31953526089798628,75864268883930005504,37233750751171944448,4007745124015036416,19702401475740024832,29455002656173760512,12650493173985462272,-31953526089798628,39075965381104009216,-34711010913734197248,39075965381104009216,39075965381104009216,-34711010913734197248,-31953526089798628,39075965381104009216,-34711010913734197248,39075965381104009216,39075965381104009216,-31953526089798628,39075965381104009216,-34711010913734197248,39075965381104009216,-31953526089798628,39075965381104009216,-34711010913734197248,-31953526089798628,39075965381104009216,-31953526089798628,3816825877489757
COP	10	2	23	131966807623886464,-5341779230032357,-5341779230032357,-5341779230032357,-116087335730345200,-5341779230032357,-5341779230032357,-5341779230032357,-5341779230032357,-5341779230032357,3996166588737773568,889345774041327232,-276163600913608384,4699006742979715,502320478108759360,2139558084539604992,1937709500199621376,1794643609709858560,684916379373350016,3517418883632026624,528367453558250560,4699006742979715,323791525353763648,458774148073164096,585737411459233920,688235270148544384,1746683506060250368,3066918131098350080,4699006742979715,1596411160038705408,691363435686684032,2181397222024901632,628125230693054592,660596530427950720,102118629370637504,4699006742979718,4699006742979718,4699006742979718,4699006742979718,4699006742979718,2374478431645168128,-2237207586782220032,2374478431645168128,2374478431645168128,-2237207586782220032,2374478431645168128,-2237207586782220032,2374478431645168128,2374478431645168128,2374478431645168128,-2237207586782220032,2374478431645168128,2374478431645168128,-2237207586782220032,2374478431645168128
COP	10	2	24	2897776640130638336,-1046145731090084480,-240076278460102656,909041460530134784,1128365524263352704,765688127969485312,189558797969005056,-9801395809062668,581076054455603968,58191489225924800,1215391198236882432,-555597120425958144,1066557719414029952,721577315134209664,1003901972491343488,391733061177926656,-9801395809062668,1222223191910012416,58191489225924800,1233050927876366080,975305075732213248,231460367593867520,83816304424913424,736960138412864768,-9801395809062668,824803377562381056,58191489225924800,1228366068112599552,-1077476941101094400,1228366068112599552,1228366068112599552,-9801395809062668,-1077476941101094400,58191489225924800,1228366068112599552,-1077476941101094400,1228366068112599552,-9801395809062668,1228366068112599552,58191489225924800,1228366068112599552,-1077476941101094400,-9801395809062668,1228366068112599552,58191489225924800,1228366068112599552,-9801395809062668,-1077476941101094400,58191489225924800,4556878905713349,-9801395809062666,-27054470088890460,1228366068112599552,58191489225924800,160624051447355168
COP	10	2	25	5582043086873570304,1021388284607600896,94616682908967264,1499236543558005504,1078968872104198528,-34209285457565136,853319872991306624,2252506157762745344,7084930898441444,2086107710815673088,3460768562785910784,1508799698967405568,501983806714363264,2202526849852622592,-34209285457565136,565335641694458496,53253607815079520,7084930898441444,348578559183387520,5622085776057716736,837647604676741248,889531452450773120,-34209285457565136,1831009078065367296,678540437910044800,7084930898441444,1262611341314547456,2352408465101686784,-2259277553325701376,-34209285457565136,2352408465101686784,2352408465101686784,7084930898441444,-2259277553325701376,2352408465101686784,-34209285457565136,-2259277553325701376,2352408465101686784,7084930898441444,2352408465101686784,111750847134172800,-34209285457565164,-34209285457565164,-23144214186233996,-34209285457565164,2352408465101686784,-2259277553325701376,7084930898441444,2352408465101686784,2352408465101686784,7084930898441444,-2259277553325701376,4793293867876859,7084930898441450,2352408465101686784
COP	10	4	1	321166148887376064,103813953233368912,103813953233368912,103813953233368912,79689197914456672,103813953233368912,-42037775479303552,103813953233368912,103813953233368912,-131077132879914880,2762339508740662784,433170618078409344,1705420121395013632,50326683108642376,3317597273433307648,-68120298337632488,2992187745857811968,4314193320994963456,4077057555733061,4706514045376772096,-4516857991478004224,50326683108642376,4706514045376772096,-68120298337632488,4706514045376772096,-4516857991478004224,4077057555733061,4706514045376772096,50326683108642376,-4516857991478004224,-68120298337632488,4706514045376772096,4706514045376772096,4077057555733061,375975036469133504,50326683108642352,-68684464163953080,50326683108642352,50326683108642352,-17547505298675890,4706514045376772096,-68120298337632488,-4516857991478004224,4706514045376772096,4077057555733061,223848627925766560,-68120298337632488,-68120298337632488,-173026787401184416,4706514045376772096,-4516857991478004224,4077057555733061,4706514045376772096,4077057555733061,222904481070640672
COP	10	4	2	24215391974876995584,247741211462619296,6505770726783731712,325360949490634368,84063213321737424,-79579686654252944,7009205507571104768,7667769514822931456,2453667199763456000,8487858848433423,9450355248131848192,-8996388825577704448,325360949490634368,84063213321737424,-79579686654252944,9450355248131848192,9450355248131848192,-8996388825577704448,8487858848433423,9450355248131848192,325360949490634368,84063213321737424,-79579686654252944,-8996388825577704448,9450355248131848192,9450355248131848192,8487858848433423,1138016273739543424,39250610092091792,-120066055132862176,325360949490634368,325360949490634368,325360949490634368,91904489218864160,461079043696091648,-223412764201697792,84063213321737504,84063213321737504,84063213321737504,-181867449575786656,472748485732318400,-79579686654252896,-79579686654252896,-79579686654252896,-311456445912153152,9450355248131848192,-8996388825577704448,9450355248131848192,8487858848433423,9450355248131848192,-8996388825577704448,8487858848433423,9450355248131848192,8487858848433423,509785734574447488
COP	10	4	3	7018738514303631360,-50046500863676416,1719361101596449792,129057866351246720,4576291868293566464,152244737723765344,-8156398585661380,4764202352466335744,577413024987420032,3373532334952534528,190754604079444736,-50046500863676440,-120413130219108880,-50046500863676440,11626508054085154,-157326890839076352,-50046500863676440,-50046500863676440,-50046500863676440,4764296942742280192,129057866351246720,-4459075094112495616,152244737723765344,-8156398585661380,4764296942742280192,4764296942742280192,-4459075094112495616,396581146491786432,129057866351246720,175465200593955840,-31780187134834280,129057866351246720,129057866351246720,129057866351246720,4764296942742280192,152244737723765344,-8156398585661380,-4459075094112495616,4764296942742280192,4764296942742280192,511160289305808000,-123351754027175648,152244737723765376,152244737723765376,152244737723765376,187110926342413120,-8156398585661389,-8156398585661389,-8156398585661389,4764296942742280192,-4459075094112495616,4764296942742280192,4764296942742280192,-4459075094112495616,4764296942742280192
COP	10	4	4	8826388945126500352,8043277792706458624,6010791691019184,8768106737711409152,-6966937412353072,-55988780820766256,102932142911720208,6408040055799996416,4805750226318537728,3942763386053729280,9385430466377721856,6010791691019184,-9061313607331830784,-6966937412353072,-55988780820766256,102932142911720208,9385430466377721856,9385430466377721856,-9061313607331830784,589985183130790272,6010791691019200,-138638933199999072,-296269829890896960,-265769996273160768,6010791691019200,6010791691019200,6010791691019200,9385430466377721856,-6966937412353072,-55988780820766256,102932142911720208,-9061313607331830784,9385430466377721856,9385430466377721856,609586221881405440,-317620030460331328,4012503398006371,-6966937412353003,-6966937412353003,-6966937412353003,580859170751764736,-146453666403370560,-55988780820766320,-55988780820766320,-55988780820766320,717083969387993728,102932142911720272,102932142911720272,102932142911720272,9385430466377721856,-9061313607331830784,9385430466377721856,9385430466377721856,-9061313607331830784,9385430466377721856
COP	10	4	5	1452044426249425408,29439973496340392,1156423315488928256,1090025649735453056,21437982751873900,-7315493562055941,41640570450180576,662685670617257984,-5371240378445545,439276223423144064,96199338273617072,29439973496340388,29439973496340388,26727464739979708,-27617338589023812,29439973496340388,29439973496340388,12264449749049466,29439973496340388,1182193784900838656,-1123649224312855168,21437982751873900,-7315493562055941,1182193784900838656,1182193784900838656,-5371240378445545,-1123649224312855168,1182193784900838656,21437982751873900,-7315493562055941,-1123649224312855168,1182193784900838656,-5371240378445545,1182193784900838656,87301497821075376,-34308433808872176,21437982751873892,21437982751873892,-15986490883862866,21437982751873892,57239863348112736,-7315493562055946,-7315493562055946,-40013986113493544,-7315493562055946,1182193784900838656,-1123649224312855168,-5371240378445545,1182193784900838656,1182193784900838656,-5371240378445545,-1123649224312855168,51921751628390016,-5371240378445545,1182193784900838656
COP	10	4	6	5249889789960188928,8036791559986581504,230335617381821216,103926402371982416,177777859126395520,1094423026562371328,-95151974839374096,5506472832420668416,450944863849828160,1303591497708361472,9558723428803782656,230335617381821216,103926402371982416,177777859126395520,-8888020644905768960,-95151974839374096,9558723428803782656,9558723428803782656,-8888020644905768960,580931384686964480,74364941242646096,367384469482451968,230335617381821216,-112704365062008160,230335617381821216,230335617381821216,230335617381821216,365927071050176384,-73865911968191248,103926402371982448,-251922131537951168,103926402371982448,103926402371982448,103926402371982448,345651625059604352,177777859126395520,8198908065319243,177777859126395520,177777859126395520,177777859126395520,9558723428803782656,-95151974839374096,-8888020644905768960,9558723428803782656,9558723428803782656,180138110771734176,-95151974839374112,-95151974839374112,-95151974839374112,9558723428803782656,-8888020644905768960,9558723428803782656,9558723428803782656,-8888020644905768960,9558723428803782656
COP	10	4	7	1007047902541082752,1251539701145544704,3443875943539447296,3866451462243289600,2275341890149553152,9238225106864140,18297330749926732,65436618076824176,-44448337264019056,4476275098395863552,4738918292870071296,-4484453743984704512,4738918292870071296,4738918292870071296,9238225106864140,18297330749926732,65436618076824176,-44448337264019056,-4484453743984704512,4738918292870071296,-4484453743984704512,4738918292870071296,9238225106864140,18297330749926732,65436618076824176,-44448337264019056,4738918292870071296,4738918292870071296,-4484453743984704512,9238225106864140,18297330749926732,65436618076824176,-44448337264019056,4738918292870071296,4738918292870071296,9238225106864140,18297330749926732,65436618076824176,-44448337264019056,-4484453743984704512,94256246673581984,-62990315181390896,8746302157246303,-68433096681671312,9238225106864114,314652032382351936,72817520351792784,-157460912965126144,18297330749926784,233189513467909952,-136071614365614672,65436618076824152,225262660257157824,-44448337264019072,4738918292870071296
